,Frequency,TotalPf,b_phase_current,b_phase_pf,b_phase_voltage,lag_only_reactive_energy,lead_only_reactive_energy,r_phase_current,r_phase_pf,r_phase_voltage,meter serial_no,timestamp,total_active_power,total_apparent_energy,total_apparent_power,total_reactive_power,total_real_energy,y_phase_current,y_phase_pf,y_phase_voltage
0,50.1,0.9033,12.54,0.9,245.733,1291.68,63.95,0.58,1,248.49,600002,01-10-2018 00:00,3066.28,7941.59,3356.64,1366.93,7578.66,0.46,0.89,245.204
1,50.1,0.9016,12.565,0.9,245.784,1291.69,63.95,0.58,1,249.279,600002,01-10-2018 00:00,3075.12,7941.62,3365.5,1368.75,7578.69,0.46,0.889,245.265
2,50.1,0.9257,12.616,0.8963,246.29,1291.7,63.95,6.731,0.9902,247.243,600002,01-10-2018 00:01,4608.2,7941.66,4840.4,1461.13,7578.72,0.46,0.8891,245.536
3,50.1,0.93,12.616,0.8972,246.411,1291.71,63.95,7.251,1,247.15,600002,01-10-2018 00:01,4766.26,7941.7,4969.53,1408.13,7578.76,0.46,0.8876,245.096
4,50.1,0.93,12.61,0.8955,246.489,1291.72,63.95,7.173,1,247.283,600002,01-10-2018 00:02,4745.28,7941.74,4949.64,1409.43,7578.8,0.46,0.8892,244.9
5,50.1,0.9605,6.391,0.9424,248.556,1291.73,63.95,7.23,1,246.503,600002,01-10-2018 00:02,3491.86,7941.78,3593.73,730.463,7578.83,0.46,0.8884,244.857
6,50.1,0.99,1.32,1,249.765,1291.73,63.95,7.267,1,245.821,600002,01-10-2018 00:03,2287.66,7941.8,2287.66,50.998,7578.85,0.46,0.8881,244.906
7,50.01,0.99,1.32,1,249.796,1291.73,63.95,7.305,1,245.131,600002,01-10-2018 00:03,2290.66,7941.82,2290.66,50.462,7578.87,0.46,0.8889,244.85
8,50.1,0.99,1.32,1,249.969,1291.73,63.95,7.297,1,245.204,600002,01-10-2018 00:04,2288.64,7941.84,2288.64,50.569,7578.89,0.46,0.89,244.982
9,50.09,0.99,1.32,1,250.305,1291.73,63.95,7.31,1,245.262,600002,01-10-2018 00:04,2293.35,7941.85,2293.35,50.425,7578.91,0.46,0.89,244.939
10,50,0.99,1.32,1,250.376,1291.73,63.95,7.313,1,245.289,600002,01-10-2018 00:05,2293.85,7941.87,2293.85,50.495,7578.93,0.46,0.89,244.718
11,50,0.99,1.314,1,250.363,1291.73,63.95,7.302,1,245.138,600002,01-10-2018 00:05,2289.4,7941.89,2289.4,50.464,7578.95,0.46,0.8886,244.75
12,50,0.99,1.323,1,250.133,1291.73,63.95,7.27,1,245.362,600002,01-10-2018 00:06,2287.35,7941.91,2287.35,51.783,7578.97,0.46,0.8861,245.461
13,50,0.9645,6.051,0.9558,248.269,1291.74,63.95,7.152,1,246.436,600002,01-10-2018 00:06,3290.33,7941.94,3378.33,613.196,7578.99,0.46,0.8856,245.317
14,50,0.9355,12.917,0.9004,245.975,1291.75,63.95,7.086,1,247.425,600002,01-10-2018 00:07,4802.85,7941.98,5000.5,1393.07,7579.03,0.46,0.8868,245.461
15,50,0.9057,12.554,0.8977,245.203,1291.76,63.95,1.76,1,249.382,600002,01-10-2018 00:07,3508.2,7942.01,3777,1382.4,7579.06,0.46,0.885,245.082
16,50,0.9,12.552,0.9,244.83,1291.77,63.95,0.43,1,249.73,600002,01-10-2018 00:08,3019,7942.04,3309.8,1357.93,7579.09,0.46,0.8884,244.99
17,50,0.9034,12.574,0.9,244.761,1291.78,63.95,0.43,1,249.518,600002,01-10-2018 00:08,3024.78,7942.07,3313,1353,7579.11,0.46,0.8876,244.955
18,50,0.905,12.596,0.9,244.928,1291.79,63.95,0.43,1,249.628,600002,01-10-2018 00:09,3031.92,7942.09,3320,1353.69,7579.13,0.46,0.8865,245.165
19,50,0.9022,12.553,0.9,245.012,1291.8,63.95,0.43,1,249.289,600002,01-10-2018 00:09,3019.54,7942.12,3311.3,1360.54,7579.16,0.46,0.8858,245.413
20,50,0.9103,11.111,0.9132,245.796,1291.82,63.95,0.43,1,248.743,600002,01-10-2018 00:10,2703.13,7942.15,2959.86,1196.8,7579.18,0.46,0.8863,245.271
21,50,0.9764,1.341,1,249.43,1291.82,63.95,5.232,0.9896,245.751,600002,01-10-2018 00:10,1744.06,7942.16,1760.13,114.796,7579.2,0.46,0.8843,245.536
22,49.86,0.99,1.327,1,249.743,1291.82,63.95,7.131,1,244.804,600002,01-10-2018 00:11,2240.84,7942.18,2240.84,52.152,7579.22,0.46,0.8828,245.22
23,50,0.99,1.32,1,249.79,1291.82,63.95,7.036,1,244.831,600002,01-10-2018 00:11,2213.33,7942.2,2213.33,51.731,7579.23,0.46,0.885,245.27
24,50,0.99,1.32,1,250.153,1291.82,63.95,7.016,1,245.683,600002,01-10-2018 00:12,2217.85,7942.22,2217.85,51.355,7579.25,0.46,0.8878,245.382
25,50,0.99,1.32,1,250.34,1291.82,63.95,7.058,1,245.433,600002,01-10-2018 00:12,2225.85,7942.24,2225.85,51.711,7579.27,0.46,0.8854,245.39
26,50,0.99,1.319,1,250.037,1291.82,63.95,7.08,1,245.25,600002,01-10-2018 00:13,2229.4,7942.26,2229.4,52.198,7579.29,0.46,0.8843,245.584
27,50,0.99,1.273,1,250.053,1291.82,63.95,7.104,1,245.283,600002,01-10-2018 00:13,2223.93,7942.27,2223.93,52.21,7579.31,0.46,0.8854,245.461
28,50,0.99,1.14,1,250.017,1291.82,63.95,7.149,1,245.284,600002,01-10-2018 00:14,2200.06,7942.29,2200.06,51.864,7579.33,0.46,0.8849,245.629
29,50,0.9503,9.858,0.9291,247.11,1291.83,63.95,7.097,1,246.663,600002,01-10-2018 00:14,4129.93,7942.33,4273.79,1034.46,7579.36,0.46,0.8843,245.89
30,50,0.9083,12.491,0.8924,245.577,1291.84,63.95,2.978,1,248.99,600002,01-10-2018 00:15,3637.86,7942.36,3909.8,1403.46,7579.39,0.46,0.8843,245.717
31,50,0.8944,12.386,0.8906,245.317,1291.85,63.95,0.43,1,249.362,600002,01-10-2018 00:15,2959.06,7942.39,3274.06,1402.2,7579.42,0.46,0.8811,245.624
32,50,0.8992,12.419,0.89,245.42,1291.86,63.95,0.43,1,249.097,600002,01-10-2018 00:16,2969,7942.42,3281.46,1398.69,7579.44,0.46,0.882,245.45
33,50,0.8989,12.438,0.8905,245.457,1291.87,63.95,0.43,1,248.991,600002,01-10-2018 00:16,2975.66,7942.44,3287.4,1398.46,7579.46,0.46,0.8843,245.582
34,50,0.97,1.14,1,249.276,1291.88,63.95,0.43,1,247.418,600002,01-10-2018 00:17,689.139,7942.45,712.996,147.14,7579.47,0.46,0.8883,245.256
35,50,0.97,1.14,1,249.19,1291.88,63.95,0.43,1,247.347,600002,01-10-2018 00:17,511.855,7942.46,513.855,50.784,7579.47,0.46,0.8889,245.111
36,50,0.97,1.14,1,249.039,1291.88,63.95,0.43,1,247.79,600002,01-10-2018 00:18,511.354,7942.46,513.354,50.855,7579.48,0.46,0.89,244.854
37,50,0.9823,1.14,1,249.616,1291.88,63.95,6.999,0.9896,245.784,600002,01-10-2018 00:18,2150.8,7942.48,2164,104.864,7579.5,0.46,0.8863,245.27
38,50,0.99,1.14,1,250.02,1291.88,63.95,7.14,1,245.82,600002,01-10-2018 00:19,2200.84,7942.49,2200.84,51.382,7579.52,0.46,0.8867,245.321
39,50,0.99,1.14,1,249.915,1291.88,63.95,7.015,1,245.739,600002,01-10-2018 00:19,2170.18,7942.51,2170.18,51.62,7579.53,0.46,0.8872,245.153
40,50,0.99,1.14,1,250.304,1291.88,63.95,7.044,1,245.832,600002,01-10-2018 00:20,2178.35,7942.53,2178.35,50.925,7579.55,0.46,0.89,244.898
41,50,0.9613,7.593,0.9474,248.005,1291.88,63.95,7.091,1,246.104,600002,01-10-2018 00:20,3560.69,7942.56,3677.69,800.075,7579.58,0.46,0.8859,244.897
42,50,0.9347,12.473,0.9018,243.953,1291.9,63.95,7.161,1,243.796,600002,01-10-2018 00:21,4670.35,7942.6,4857.5,1337.21,7579.62,0.45,0.8933,242.683
43,50,0.93,12.266,0.899,243.932,1291.91,63.95,7.224,1,243.24,600002,01-10-2018 00:21,4612.28,7942.64,4803.71,1344.64,7579.66,0.45,0.8967,242.183
44,50,0.94,12.202,0.9076,242.54,1291.92,63.95,7.265,1,241.891,600002,01-10-2018 00:22,4615.78,7942.69,4783.64,1258.07,7579.7,0.45,0.9012,241.233
45,50,0.9519,9.221,0.9339,243.197,1291.93,63.95,6.208,1,241.924,600002,01-10-2018 00:22,3703.06,7942.72,3823.46,922.862,7579.73,0.45,0.9017,240.924
46,50,0.9789,1.13,1,245.018,1291.93,63.95,0.44,1,242.897,600002,01-10-2018 00:23,500.856,7942.72,502.353,44.71,7579.73,0.45,0.9068,240.619
47,50,0.9756,1.13,1,244.929,1291.93,63.95,0.44,1,242.909,600002,01-10-2018 00:23,500.864,7942.73,502.664,45.33,7579.74,0.45,0.9018,240.664
48,50,0.9777,1.126,1,244.61,1291.93,63.95,0.44,1,243.323,600002,01-10-2018 00:24,500.198,7942.73,501.93,44.795,7579.74,0.45,0.905,240.53
49,50,0.98,1.13,1,244.591,1291.93,63.95,0.44,1,243.677,600002,01-10-2018 00:24,500.73,7942.74,502.395,44.596,7579.74,0.449,0.9057,240.57
50,50,0.9776,1.13,1,244.547,1291.93,63.95,0.44,1,243.704,600002,01-10-2018 00:25,500.496,7942.74,502.353,45.283,7579.75,0.449,0.9018,240.504
51,50,0.9782,1.13,1,244.858,1291.93,63.95,0.44,1,243.635,600002,01-10-2018 00:25,500.151,7942.74,502.151,45.228,7579.75,0.442,0.9007,240.575
52,50,0.9584,6.559,0.9678,243.011,1291.93,63.95,0.44,1,244.044,600002,01-10-2018 00:26,1719.73,7942.76,1811.93,547.397,7579.77,0.445,0.9023,240.59
53,50,0.9361,12.32,0.9183,241.697,1291.94,63.95,5.625,0.9889,242.776,600002,01-10-2018 00:26,4245.92,7942.8,4433.21,1251.35,7579.8,0.45,0.9004,241.126
54,50,0.9418,12.116,0.9124,241.696,1291.95,63.95,7.263,1,242.196,600002,01-10-2018 00:27,4609.53,7942.84,4763.33,1201.8,7579.84,0.45,0.9003,241.035
55,50,0.95,12.22,0.92,241.426,1291.96,63.95,7.179,1,242.403,600002,01-10-2018 00:27,4622.5,7942.87,4770.35,1180.5,7579.88,0.45,0.9033,240.875
56,50,0.95,12.206,0.92,241.402,1291.97,63.95,7.225,1,241.546,600002,01-10-2018 00:28,4623.25,7942.92,4772.31,1185.62,7579.92,0.45,0.9,240.922
57,50,0.9867,1.919,0.994,244.94,1291.97,63.95,7.225,1,240.268,600002,01-10-2018 00:28,2340.93,7942.94,2351.57,126.068,7579.94,0.45,0.9033,240.768
58,50,0.99,1.13,1,245.311,1291.97,63.95,7.236,1,240.139,600002,01-10-2018 00:29,2167.85,7942.95,2167.85,44.924,7579.95,0.45,0.9039,240.818
59,50,0.99,1.13,1,245.34,1291.97,63.95,7.273,1,239.953,600002,01-10-2018 00:29,2175.31,7942.97,2175.31,45.809,7579.97,0.447,0.9006,240.896
60,50,0.99,1.13,1,246.011,1291.97,63.95,7.273,1,240.568,600002,01-10-2018 00:30,2183.14,7942.99,2183.14,45.64,7579.99,0.45,0.9012,240.854
61,50,0.99,1.13,1,245.99,1291.97,63.95,7.237,1,240.938,600002,01-10-2018 00:30,2178.26,7943.01,2178.26,44.864,7580.01,0.45,0.9029,240.925
62,50,0.9885,1.13,1,245.864,1291.97,63.95,6.362,1,241.31,600002,01-10-2018 00:31,2034.86,7943.03,2034.93,44.998,7580.03,0.45,0.9024,240.71
63,50,0.98,1.13,1,245.333,1291.98,63.95,0.588,1,242.833,600002,01-10-2018 00:31,545.781,7943.03,546.781,44.856,7580.03,0.446,0.9024,240.369
64,50,0.98,1.13,1,245.539,1291.98,63.95,0.59,1,242.597,600002,01-10-2018 00:32,545.567,7943.04,546.567,44.424,7580.04,0.441,0.9047,240.283
65,50,0.98,1.13,1,245.543,1291.98,63.95,0.59,1,243.41,600002,01-10-2018 00:32,546.664,7943.04,547.664,44.796,7580.04,0.447,0.9037,240.358
66,50,0.9631,5.021,0.9751,244.043,1291.98,63.95,0.585,1,244.11,600002,01-10-2018 00:33,1246.46,7943.05,1302.13,342.997,7580.05,0.446,0.901,240.523
67,50,0.9258,12.445,0.9224,241.643,1291.99,63.95,0.58,1,245.003,600002,01-10-2018 00:33,3067.46,7943.08,3281.4,1165.66,7580.07,0.45,0.9036,240.971
68,50,0.92,12.062,0.9107,241.813,1292,63.95,0.58,1,244.69,600002,01-10-2018 00:34,2948.14,7943.11,3185.78,1208.57,7580.1,0.45,0.9039,241.075
69,50,0.92,12.175,0.92,241.924,1292.01,63.95,0.581,1,244.397,600002,01-10-2018 00:34,2989.73,7943.13,3217.33,1190.2,7580.13,0.45,0.903,241.216
70,50,0.9244,12.146,0.9192,241.782,1292.02,63.95,2.921,0.989,243.552,600002,01-10-2018 00:35,3523.69,7943.16,3745.46,1248.84,7580.16,0.45,0.9006,241.274
71,50,0.9713,5.505,0.9613,244.168,1292.02,63.95,7.488,1,241.252,600002,01-10-2018 00:35,3210.84,7943.19,3270.61,510.689,7580.18,0.45,0.8989,241.297
72,50,0.99,1.13,1,245.638,1292.02,63.95,7.384,1,240.79,600002,01-10-2018 00:36,2218.06,7943.21,2218.06,45.931,7580.2,0.45,0.9,241.21
73,50,0.99,1.13,1,245.856,1292.02,63.95,7.322,1,240.569,600002,01-10-2018 00:36,2202.46,7943.23,2202.46,46.196,7580.22,0.45,0.9009,241.29
74,50,0.99,1.13,1,246.098,1292.03,63.95,7.389,1,239.975,600002,01-10-2018 00:37,2214.5,7943.25,2214.5,45.998,7580.24,0.45,0.9,241.433
75,50,0.99,1.13,1,245.968,1292.03,63.95,7.43,1,240.204,600002,01-10-2018 00:37,2226.28,7943.27,2226.28,46.425,7580.26,0.45,0.9,241.582
76,50,0.99,1.13,1,245.923,1292.03,63.95,7.437,1,240.622,600002,01-10-2018 00:38,2230.33,7943.29,2230.33,46.197,7580.28,0.45,0.9013,241.531
77,50,0.99,1.13,1,245.803,1292.03,63.95,7.432,1,240.324,600002,01-10-2018 00:38,2228,7943.31,2228,46.597,7580.29,0.45,0.8984,241.698
78,50,0.9863,1.13,1,246.103,1292.03,63.95,4.857,1,241.376,600002,01-10-2018 00:39,1595.78,7943.32,1596.14,46.354,7580.31,0.45,0.8998,241.489
79,50.03,0.98,1.13,1,245.897,1292.03,63.95,0.59,1,242.836,600002,01-10-2018 00:39,546.731,7943.32,547.798,45.663,7580.31,0.45,0.9,241.39
80,50,0.9451,8.916,0.9504,243.804,1292.03,63.95,0.588,1,243.303,600002,01-10-2018 00:40,2292.06,7943.34,2437,809.996,7580.33,0.45,0.9,241.516
81,50,0.92,12.422,0.9159,242.62,1292.04,63.95,0.59,1,243.742,600002,01-10-2018 00:40,3051.54,7943.37,3285.77,1219.69,7580.35,0.45,0.899,241.675
82,50,0.911,12.213,0.91,242.784,1292.05,63.95,0.59,1,243.905,600002,01-10-2018 00:41,2986.46,7943.4,3237.4,1250.93,7580.38,0.45,0.9006,241.743
83,50,0.912,12.247,0.91,242.889,1292.06,63.95,0.59,1,243.935,600002,01-10-2018 00:41,2995.38,7943.43,3245.07,1249.54,7580.41,0.45,0.9012,241.536
84,50,0.92,12.236,0.91,242.646,1292.07,63.95,0.58,1,244.133,600002,01-10-2018 00:42,2999.81,7943.45,3240,1225.44,7580.43,0.45,0.9006,241.733
85,50,0.9391,8.296,0.9429,243.967,1292.08,63.95,3.151,0.9898,243.259,600002,01-10-2018 00:42,2736.61,7943.47,2906.61,871.457,7580.45,0.45,0.9,241.813
86,50,0.99,1.13,1,246.547,1292.08,63.95,7.51,1,240.496,600002,01-10-2018 00:43,2245.31,7943.49,2245.31,46.746,7580.47,0.45,0.9,242.133
87,50,0.99,1.13,1,246.469,1292.08,63.95,7.38,1,240.325,600002,01-10-2018 00:43,2214.21,7943.51,2214.21,46.71,7580.49,0.45,0.9,242.176
88,50,0.99,1.13,1,246.283,1292.08,63.95,7.364,1,240.823,600002,01-10-2018 00:44,2215.26,7943.53,2215.26,46.528,7580.51,0.45,0.9,241.989
89,50,0.99,1.13,1,246.377,1292.08,63.95,7.415,1,240.876,600002,01-10-2018 00:44,2227.86,7943.55,2227.86,46.463,7580.53,0.45,0.9,242.122
90,50,0.99,1.13,1,246.37,1292.08,63.95,7.382,1,241.05,600002,01-10-2018 00:45,2221.26,7943.57,2221.26,46.131,7580.55,0.45,0.9,241.829
91,50,0.99,1.13,1,246.538,1292.08,63.95,7.383,1,240.818,600002,01-10-2018 00:45,2220.46,7943.59,2220.46,46.131,7580.56,0.45,0.9003,241.93
92,50,0.99,1.13,1,246.49,1292.08,63.95,7.443,1,240.509,600002,01-10-2018 00:46,2231.46,7943.61,2231.46,46.462,7580.58,0.45,0.9004,241.803
93,50,0.99,1.13,1,246.451,1292.08,63.95,7.492,1,240.071,600002,01-10-2018 00:46,2237.73,7943.62,2237.73,46.662,7580.6,0.45,0.8989,241.75
94,50,0.981,1.13,1,245.803,1292.08,63.95,1.367,1,241.965,600002,01-10-2018 00:47,770.33,7943.63,771.398,45.798,7580.61,0.45,0.9005,241.116
95,50,0.98,1.13,1,245.743,1292.09,63.95,0.59,1,242.25,600002,01-10-2018 00:47,545.663,7943.64,546.798,45.664,7580.61,0.45,0.9006,241.064
96,50,0.9263,11.116,0.9264,242.524,1292.09,63.95,0.585,1,243.543,600002,01-10-2018 00:48,2762.53,7943.66,2965.33,1057.33,7580.64,0.45,0.8977,241.464
97,50,0.9189,12.322,0.913,242.037,1292.1,63.95,0.58,1,244.47,600002,01-10-2018 00:48,3017.6,7943.69,3255.6,1223.26,7580.66,0.45,0.8978,241.424
98,50,0.9179,12.255,0.91,242.116,1292.11,63.95,0.587,1,244.023,600002,01-10-2018 00:49,2996.13,7943.71,3240.2,1235,7580.69,0.45,0.8989,241.337
99,50,0.9175,12.281,0.91,242.297,1292.12,63.95,0.583,1,243.781,600002,01-10-2018 00:49,3002.15,7943.74,3244.23,1231.3,7580.71,0.45,0.9,241.312
100,50,0.9215,10.803,0.9212,243.054,1292.13,63.95,0.582,1,244.109,600002,01-10-2018 00:50,2827.87,7943.77,3059.06,1163.75,7580.73,0.45,0.899,241.302
101,50,0.9815,1.13,1,246.397,1292.13,63.95,1.43,1,242.819,600002,01-10-2018 00:50,756.306,7943.77,757.228,45.92,7580.74,0.45,0.9,241.09
102,50,0.99,1.13,1,246.857,1292.13,63.95,7.421,1,241.142,600002,01-10-2018 00:51,2229,7943.79,2229,46.264,7580.76,0.45,0.9,241.41
103,50,0.99,1.13,1,247.018,1292.13,63.95,7.362,1,241.383,600002,01-10-2018 00:51,2219.78,7943.81,2219.78,46.283,7580.78,0.45,0.9011,241.582
104,50,0.99,1.13,1,247.146,1292.13,63.95,7.291,1,241.296,600002,01-10-2018 00:52,2202.85,7943.83,2202.85,46.353,7580.79,0.45,0.9,241.726
105,50,0.99,1.13,1,246.965,1292.14,63.95,7.356,1,240.62,600002,01-10-2018 00:52,2210.23,7943.85,2210.23,46.536,7580.81,0.45,0.9006,241.943
106,50,0.99,1.13,1,246.838,1292.14,63.95,7.428,1,240.384,600002,01-10-2018 00:53,2226.46,7943.86,2226.46,46.931,7580.83,0.45,0.9,242.043
107,50,0.99,1.13,1,246.796,1292.14,63.95,7.408,1,240.543,600002,01-10-2018 00:53,2222.61,7943.88,2222.61,47.074,7580.85,0.45,0.8982,242.02
108,50,0.99,1.13,1,246.753,1292.14,63.95,7.383,1,240.772,600002,01-10-2018 00:54,2217.81,7943.9,2217.81,46.746,7580.87,0.45,0.8985,242.183
109,50.02,0.9554,9.732,0.9347,244.054,1292.14,63.95,6.794,1,242.368,600002,01-10-2018 00:54,4007.93,7943.94,4122.5,908.783,7580.9,0.45,0.8975,242.526
110,50.01,0.9202,12.351,0.9156,242.584,1292.15,63.95,0.58,1,245.436,600002,01-10-2018 00:55,3033.86,7943.96,3268.46,1217.06,7580.93,0.45,0.8983,242.256
111,50,0.92,12.308,0.9118,242.71,1292.16,63.95,0.58,1,245.096,600002,01-10-2018 00:55,3020,7943.99,3260.26,1229.46,7580.95,0.45,0.8985,242.11
112,50,0.9172,12.303,0.91,242.83,1292.17,63.95,0.58,1,244.784,600002,01-10-2018 00:56,3014.73,7944.02,3260.06,1241.6,7580.98,0.45,0.9,242.337
113,50,0.9189,11.473,0.9164,243.312,1292.18,63.95,0.58,1,244.982,600002,01-10-2018 00:56,2830.07,7944.04,3060.64,1161.78,7581,0.45,0.9007,242.232
114,50.08,0.9791,1.13,1,246.683,1292.18,63.95,0.58,1,244.063,600002,01-10-2018 00:57,547.665,7944.05,548.93,46.196,7581,0.45,0.8999,241.856
115,50,0.98,1.13,1,246.635,1292.18,63.95,0.58,1,243.983,600002,01-10-2018 00:57,547.745,7944.05,548.871,46.122,7581.01,0.45,0.9,241.984
116,50,0.98,1.13,1,246.761,1292.19,63.95,0.583,1,243.931,600002,01-10-2018 00:58,547.569,7944.06,548.999,46.497,7581.01,0.45,0.9,241.761
117,50,0.9735,1.13,1,246.677,1292.19,63.95,1.451,0.9899,243.304,600002,01-10-2018 00:58,740.57,7944.06,758.782,114.425,7581.02,0.45,0.9,242.04
118,50,0.99,1.13,1,247.436,1292.19,63.95,7.461,1,241.062,600002,01-10-2018 00:59,2236.93,7944.08,2236.93,47.596,7581.04,0.45,0.8977,242.383
119,50.05,0.99,1.13,1,247.668,1292.19,63.95,7.407,1,241.104,600002,01-10-2018 00:59,2227.5,7944.1,2227.5,47.21,7581.06,0.45,0.8989,242.425
120,50.02,0.99,1.13,1,247.897,1292.19,63.95,7.309,1,241.131,600002,01-10-2018 01:00,2202.4,7944.12,2202.4,47.263,7581.07,0.45,0.9,242.416
121,50.08,0.9748,5.4,0.972,246.489,1292.19,63.95,7.368,1,241.697,600002,01-10-2018 01:00,3171.35,7944.15,3229.85,486.211,7581.1,0.45,0.8984,242.719
122,50,0.941,12.619,0.9097,244.09,1292.2,63.95,7.377,1,243.169,600002,01-10-2018 01:01,4784.33,7944.19,4954.4,1288.06,7581.14,0.45,0.8977,242.776
123,50,0.94,12.407,0.9033,244.354,1292.21,63.95,7.374,1,242.81,600002,01-10-2018 01:01,4713,7944.23,4893.14,1317.28,7581.18,0.45,0.8933,242.669
124,50,0.94,12.389,0.9,244.29,1292.22,63.95,7.391,1,243.154,600002,01-10-2018 01:02,4712.42,7944.27,4893.14,1319.93,7581.22,0.45,0.8968,242.646
125,50,0.9558,7.651,0.9425,245.13,1292.23,63.95,4.538,1,243.717,600002,01-10-2018 01:02,2963.6,7944.3,3067.73,781.13,7581.24,0.45,0.8989,242.331
126,50,0.98,1.13,1,246.803,1292.23,63.95,0.58,1,244.109,600002,01-10-2018 01:03,547.863,7944.3,549.263,46.53,7581.25,0.45,0.9,242.003
127,50,0.98,1.13,1,246.74,1292.23,63.95,0.58,1,244.255,600002,01-10-2018 01:03,547.856,7944.31,549.424,46.639,7581.25,0.45,0.9,241.976
128,50,0.9762,1.13,1,246.748,1292.23,63.95,0.496,1,244.339,600002,01-10-2018 01:04,525.282,7944.31,527.139,46.495,7581.26,0.45,0.9,241.847
129,50,0.9749,1.13,1,246.73,1292.23,63.95,0.44,1,244.276,600002,01-10-2018 01:04,504.664,7944.32,506.664,46.196,7581.26,0.45,0.9,241.884
130,50,0.9706,1.13,1,246.663,1292.23,63.95,0.44,1,244.09,600002,01-10-2018 01:05,502.863,7944.32,504.863,46.997,7581.27,0.45,0.897,241.851
131,50,0.9705,1.13,1,246.698,1292.23,63.95,0.44,1,243.618,600002,01-10-2018 01:05,503.141,7944.33,505.141,46.854,7581.27,0.45,0.9,241.89
132,50,0.9728,1.13,1,246.812,1292.23,63.95,0.44,1,243.528,600002,01-10-2018 01:06,502.843,7944.33,504.843,46.766,7581.27,0.45,0.9015,241.743
133,50,0.9716,1.13,1,247.024,1292.23,63.95,3.483,0.9897,242.449,600002,01-10-2018 01:06,1217.26,7944.34,1233.4,107.396,7581.28,0.45,0.899,242.096
134,50,0.9476,10.327,0.9261,244.469,1292.24,63.95,7.286,1,242.918,600002,01-10-2018 01:07,4232.35,7944.38,4375,1047.78,7581.32,0.45,0.8939,242.675
135,50,0.9383,12.428,0.9018,243.754,1292.25,63.95,7.174,1,243.382,600002,01-10-2018 01:07,4655.57,7944.42,4838.35,1318.64,7581.36,0.45,0.8926,242.433
136,50,0.9389,12.354,0.9,243.568,1292.26,63.95,7.095,1,244.312,600002,01-10-2018 01:08,4627.43,7944.46,4810.35,1315.57,7581.4,0.45,0.8939,242.547
137,50,0.94,12.43,0.9083,243.69,1292.27,63.95,7.097,1,244.483,600002,01-10-2018 01:08,4655.07,7944.5,4833.35,1302.57,7581.44,0.45,0.8983,242.704
138,50,0.9755,4.358,0.974,246.426,1292.28,63.95,7.143,1,243.576,600002,01-10-2018 01:09,2887.43,7944.52,2938,404.996,7581.46,0.45,0.8975,242.625
139,50,0.99,1.13,1,247.79,1292.28,63.95,7.182,1,243.164,600002,01-10-2018 01:09,2184.8,7944.54,2184.8,47.864,7581.48,0.45,0.8983,242.564
140,50,0.99,1.13,1,247.923,1292.28,63.95,7.194,1,243.063,600002,01-10-2018 01:10,2186.46,7944.56,2186.46,47.73,7581.49,0.45,0.8976,242.456
141,50,0.9769,1.13,1,247.412,1292.28,63.95,2.582,1,244.818,600002,01-10-2018 01:10,1072.43,7944.57,1073.71,47.712,7581.5,0.45,0.8947,242.26
142,50,0.97,1.13,1,247.397,1292.28,63.95,0.437,1,245.604,600002,01-10-2018 01:11,505.141,7944.57,507.141,47.496,7581.51,0.45,0.8968,242.268
143,50,0.97,1.13,1,247.403,1292.28,63.95,0.44,1,245.277,600002,01-10-2018 01:11,504.396,7944.58,506.396,47.396,7581.51,0.45,0.8977,242.176
144,50,0.97,1.13,1,247.404,1292.28,63.95,0.44,1,244.547,600002,01-10-2018 01:12,504.069,7944.58,506.069,47.069,7581.52,0.45,0.9,242.139
145,50,0.9711,1.13,1,246.933,1292.28,63.95,0.437,1,244.361,600002,01-10-2018 01:12,503.068,7944.59,505.068,46.999,7581.52,0.45,0.899,241.989
146,50,0.9417,8.201,0.953,244.436,1292.29,63.95,0.438,1,245.156,600002,01-10-2018 01:13,1913.86,7944.6,2036.53,673.329,7581.54,0.45,0.8978,242.416
147,50,0.913,12.42,0.9099,243.23,1292.3,63.95,0.44,1,245.369,600002,01-10-2018 01:13,2994.26,7944.63,3253.73,1274.2,7581.56,0.45,0.8943,242.557
148,50,0.91,12.325,0.9089,243.104,1292.31,63.95,0.438,1,246.197,600002,01-10-2018 01:14,2965.78,7944.66,3228,1275.71,7581.59,0.45,0.8947,242.554
149,50,0.9181,12.381,0.91,243.205,1292.32,63.95,2.922,0.9872,246.106,600002,01-10-2018 01:14,3574.83,7944.69,3846.33,1396.41,7581.62,0.45,0.8955,242.772
150,50,0.949,10.106,0.9198,244.398,1292.33,63.95,7.266,1,244.47,600002,01-10-2018 01:15,4181.27,7944.73,4323.09,1055.63,7581.65,0.45,0.896,243.008
151,50,0.99,1.13,1,247.423,1292.33,63.95,7.145,1,243.356,600002,01-10-2018 01:15,2175.46,7944.75,2175.46,47.529,7581.67,0.45,0.8977,242.743
152,50,0.99,1.13,1,247.568,1292.33,63.95,7.1,1,243.368,600002,01-10-2018 01:16,2164.07,7944.76,2164.07,47.782,7581.69,0.45,0.8976,242.747
153,50,0.99,1.13,1,247.596,1292.33,63.95,7.152,1,243.382,600002,01-10-2018 01:16,2177.85,7944.78,2177.85,47.567,7581.71,0.45,0.9,242.975
154,50,0.99,1.13,1,247.63,1292.33,63.95,7.158,1,243.73,600002,01-10-2018 01:17,2181.53,7944.8,2181.53,47.728,7581.73,0.45,0.8986,243.003
